ticker,vb_k,stoploss_pct,trailing_activate_pct,trailing_stop_pct,return_pct,win_rate,trades,mdd_pct,profit_factor,sharpe,score
KODEX코스닥150,0.3,2.5,2.0,0.5,21.32,66.7,72,10.04,1.34,0.6,50.02
삼성전자,0.3,2.5,2.0,0.5,56.81,67.1,85,15.51,1.75,1.15,50.38
KODEX200,0.3,2.5,2.0,1.0,88.26,78.4,88,9.38,2.35,1.98,61.97
KODEX코스닥150,0.3,2.5,2.0,1.0,10.85,64.7,68,14.29,1.18,0.36,45.16
삼성전자,0.3,2.5,2.0,1.0,43.44,63.9,83,17.6,1.57,0.94,46.23
KODEX200,0.3,2.5,2.0,1.5,87.23,77.9,86,9.38,2.34,1.96,61.9
KODEX코스닥150,0.3,2.5,2.0,1.5,12.86,65.7,67,12.45,1.22,0.41,47.16
삼성전자,0.3,2.5,2.0,1.5,39.43,63.7,80,18.16,1.55,0.9,45.43
KODEX200,0.3,2.5,2.5,0.5,108.03,77.5,89,8.33,2.51,2.17,65.64
KODEX코스닥150,0.3,2.5,2.5,0.5,18.88,61.9,63,14.08,1.3,0.53,46.54
삼성전자,0.3,2.5,2.5,0.5,58.22,64.9,77,14.54,1.76,1.17,51.69
KODEX200,0.3,2.5,2.5,1.0,124.74,81.2,85,8.38,3.02,2.5,69.41
KODEX코스닥150,0.3,2.5,2.5,1.0,10.23,60.7,61,16.17,1.17,0.33,43.55
삼성전자,0.3,2.5,2.5,1.0,46.42,63.2,76,16.07,1.61,0.99,48.41
KODEX200,0.3,2.5,2.5,1.5,124.23,81.0,84,8.38,3.01,2.5,69.39
KODEX코스닥150,0.3,2.5,2.5,1.5,12.19,61.7,60,16.15,1.21,0.38,44.18
삼성전자,0.3,2.5,2.5,1.5,44.2,63.5,74,16.28,1.61,0.98,48.16
KODEX200,0.3,2.5,3.0,0.5,112.8,75.6,82,8.73,2.55,2.22,66.42
KODEX코스닥150,0.3,2.5,3.0,0.5,22.91,60.3,58,13.26,1.37,0.62,47.98
삼성전자,0.3,2.5,3.0,0.5,60.31,64.4,73,15.14,1.84,1.21,51.87
KODEX200,0.3,2.5,3.0,1.0,117.86,78.2,78,8.73,2.78,2.39,68.15
KODEX코스닥150,0.3,2.5,3.0,1.0,19.96,60.0,55,12.92,1.34,0.56,48.0
삼성전자,0.3,2.5,3.0,1.0,55.56,62.5,72,16.61,1.78,1.12,49.73
KODEX200,0.3,2.5,3.0,1.5,117.49,77.9,77,8.73,2.78,2.38,68.13
KODEX코스닥150,0.3,2.5,3.0,1.5,18.15,60.0,55,12.92,1.31,0.52,47.71
삼성전자,0.3,2.5,3.0,1.5,53.39,63.8,69,16.82,1.8,1.13,49.79
KODEX200,0.3,3.0,2.0,0.5,91.42,80.0,90,8.45,2.41,1.94,63.29
KODEX코스닥150,0.3,3.0,2.0,0.5,16.29,67.7,65,12.75,1.25,0.47,48.08
삼성전자,0.3,3.0,2.0,0.5,57.79,70.4,81,15.0,1.76,1.13,51.98
KODEX200,0.3,3.0,2.0,1.0,98.83,81.6,87,8.47,2.65,2.09,65.08
KODEX코스닥150,0.3,3.0,2.0,1.0,7.52,66.7,63,15.36,1.12,0.27,44.72
